Unit	F	f_feminin	score_feminin	f_manuel	score_manuel	f_masculin	score_masculin
昴	24	11	0.3343	0	-2.2707	13	1.1421
里	23	12	0.6113	0	-2.1761	11	0.6807
虽	23	15	1.5852	0	-2.1761	8	-0.3142
不敢	23	10	0.2536	0	-2.1761	13	1.3033
忽	23	13	0.8726	0	-2.1761	10	0.4578
什么	23	17	2.5875	0	-2.1761	6	-0.7438
婆婆	22	9	-0.2888	2	-0.7793	11	0.7929
正	22	13	1.0253	0	-2.0814	9	0.347
有些	22	13	1.0253	0	-2.0814	9	0.347
再	22	10	0.3137	0	-2.0814	12	1.1066
原来	22	8	-0.4604	0	-2.0814	14	1.9364
但	22	10	0.3137	0	-2.0814	12	1.1066
上前	22	12	0.7281	0	-2.0814	10	0.5411
出	22	12	0.7281	0	-2.0814	10	0.5411
吧	22	12	0.7281	0	-2.0814	10	0.5411
三个	22	10	0.3137	0	-2.0814	12	1.1066
日星	22	11	0.4927	0	-2.0814	11	0.7929
半合	22	0	-5.3582	0	-2.0814	22	9.3714
行者道	21	0	-5.1145	21	14.8887	0	-4.2912
欲	21	18	4.1701	0	-1.9868	3	-1.7134
西天	21	10	0.3861	0	-1.9868	11	0.922
钉耙	21	11	0.5947	0	-1.9868	10	0.638
寡人	21	11	0.5947	0	-1.9868	10	0.638
正是	20	8	-0.3102	5	0.454	7	-0.2949
喝道	20	12	1.0255	1	-1.1235	7	-0.2949
三人	20	9	0.2921	0	-1.8922	11	1.0709
想	20	12	1.0255	0	-1.8922	8	0.3072
哪里	20	8	-0.3102	0	-1.8922	12	1.4634
才	20	9	0.2921	0	-1.8922	11	1.0709
乃	20	13	1.4098	0	-1.8922	7	-0.2949
向	20	16	3.0894	0	-1.8922	4	-1.104
乃是	20	15	2.4315	0	-1.8922	5	-0.7491
洞	20	11	0.7154	0	-1.8922	9	0.4979
如意	20	14	1.8755	0	-1.8922	6	-0.4846
蝎子	20	11	0.7154	0	-1.8922	9	0.4979
变	19	7	-0.414	2	-0.5999	10	0.8819
今日	19	6	-0.6505	0	-1.7975	13	2.2078
让	19	13	1.6521	0	-1.7975	6	-0.4085
便是	19	13	1.6521	0	-1.7975	6	-0.4085
官	19	11	0.8585	0	-1.7975	8	0.3738
倒	18	7	-0.3351	0	-1.7029	11	1.4427
只	18	5	-0.8407	0	-1.7029	13	2.5261
不是	18	8	0.2694	0	-1.7029	10	1.0351
啊	18	3	-1.7318	0	-1.7029	15	4.0394
些	18	13	1.9377	0	-1.7029	5	-0.5593
喝	18	12	1.4369	0	-1.7029	6	-0.338
本相	18	12	1.4369	0	-1.7029	6	-0.338
圣僧	18	11	1.0284	0	-1.7029	7	0.267
出家人	17	13	2.2777	0	-1.6082	4	-0.7591
吓	17	9	0.56	0	-1.6082	8	0.5486
西行	17	10	0.8535	0	-1.6082	7	0.3303
二	17	15	3.8257	0	-1.6082	2	-1.693
八戒说	16	0	-3.8964	16	11.3416	0	-3.2691
厉害	16	8	0.4309	4	0.415	4	-0.6536
地	16	8	0.4309	0	-1.5136	8	0.6624
出来	16	8	0.4309	0	-1.5136	8	0.6624
中	16	12	2.019	0	-1.5136	4	-0.6536
忽见	16	9	0.6908	0	-1.5136	7	0.4074
美貌	16	15	4.5326	0	-1.5136	1	-2.2432
定	16	10	1.0349	0	-1.5136	6	-0.2156
白骨精	16	2	-1.9882	0	-1.5136	14	4.2567
大怒	16	8	0.4309	0	-1.5136	8	0.6624
前	16	11	1.4735	0	-1.5136	5	-0.3914
如今	16	9	0.6908	0	-1.5136	7	0.4074
眼中	16	8	0.4309	0	-1.5136	8	0.6624
而	16	5	-0.6058	0	-1.5136	11	1.9499
行者说	15	0	-3.6528	15	10.6323	0	-3.0648
从	15	9	0.8506	0	-1.419	6	0.2857
给	15	6	-0.2855	0	-1.419	9	1.1874
住	15	9	0.8506	0	-1.419	6	0.2857
随	15	12	2.4057	0	-1.419	3	-0.8985
望	15	10	1.2548	0	-1.419	5	-0.3169
之	15	6	-0.2855	0	-1.419	9	1.1874
下	15	6	-0.2855	0	-1.419	9	1.1874
女儿国	15	9	0.8506	0	-1.419	6	0.2857
只得	15	10	1.2548	0	-1.419	5	-0.3169
女童	15	14	4.1917	0	-1.419	1	-2.0641
不多时	14	6	-0.2154	2	-0.3332	6	0.3596
筋斗云	14	6	-0.2154	0	-1.3244	8	0.9634
白骨	14	11	2.1286	0	-1.3244	3	-0.7768
大喜	14	11	2.1286	0	-1.3244	3	-0.7768
甚	14	11	2.1286	0	-1.3244	3	-0.7768
顿时	14	13	3.8525	0	-1.3244	1	-1.8867
性命	14	8	0.6792	0	-1.3244	6	0.3596
暗道	14	13	3.8525	0	-1.3244	1	-1.8867
做	14	3	-1.071	0	-1.3244	11	2.6695
不如	14	9	1.0467	0	-1.3244	5	-0.2494
看看	14	7	0.4078	0	-1.3244	7	0.6156
往	14	7	0.4078	0	-1.3244	7	0.6156
琵琶	14	7	0.4078	0	-1.3244	7	0.6156
妖怪	14	1	-2.3473	0	-1.3244	13	4.576
唐僧说	13	0	-3.1656	13	9.2139	0	-2.656
放心	13	7	0.5226	0	-1.2298	6	0.4516
合掌	13	10	1.8581	0	-1.2298	3	-0.6604
泼	13	5	-0.3115	0	-1.2298	8	1.163
人家	13	6	0.2908	0	-1.2298	7	0.7556
一旁	13	10	1.8581	0	-1.2298	3	-0.6604
唐僧见	13	10	1.8581	0	-1.2298	3	-0.6604
老	13	3	-0.9187	0	-1.2298	10	2.3422
施主	13	1	-2.1331	0	-1.2298	12	4.1809
为	13	4	-0.5579	0	-1.2298	9	1.6863
且慢	13	11	2.5833	0	-1.2298	2	-1.0882
这里	13	7	0.5226	0	-1.2298	6	0.4516
泉水	13	7	0.5226	0	-1.2298	6	0.4516
来到	13	9	1.2898	0	-1.2298	4	-0.3724
钩	13	8	0.8507	0	-1.2298	5	0.2397
转身	13	5	-0.3115	0	-1.2298	8	1.163
一阵	13	8	0.8507	0	-1.2298	5	0.2397
岂	13	7	0.5226	0	-1.2298	6	0.4516
宫中	13	13	4.778	0	-1.2298	0	-2.656
精	13	7	0.5226	0	-1.2298	6	0.4516
问	13	2	-1.426	0	-1.2298	11	3.1572
出去	13	10	1.8581	0	-1.2298	3	-0.6604
丝线	13	13	4.778	0	-1.2298	0	-2.656
八戒道	12	0	-2.922	12	8.5048	0	-2.4517
常言道	12	0	-2.922	9	4.2869	3	-0.55
如何	12	7	0.6686	1	-0.5418	4	-0.2927
大圣	12	1	-1.9209	0	-1.1351	11	3.7881
间	12	8	1.0665	0	-1.1351	4	-0.2927
云头	12	7	0.6686	0	-1.1351	5	0.3095
连忙	12	6	0.3828	0	-1.1351	6	0.5664
回来	12	7	0.6686	0	-1.1351	5	0.3095
地上	12	8	1.0665	0	-1.1351	4	-0.2927
现出	12	7	0.6686	0	-1.1351	5	0.3095
肚子	12	7	0.6686	0	-1.1351	5	0.3095
小	12	7	0.6686	0	-1.1351	5	0.3095
两个	12	2	-1.2467	0	-1.1351	10	2.8
救	12	6	0.3828	0	-1.1351	6	0.5664
此处	12	11	3.1805	0	-1.1351	1	-1.5373
追	12	6	0.3828	0	-1.1351	6	0.5664
多谢	12	7	0.6686	0	-1.1351	5	0.3095
事	12	5	-0.2323	0	-1.1351	7	0.9281
能	12	6	0.3828	0	-1.1351	6	0.5664
生得	12	7	0.6686	0	-1.1351	5	0.3095
水中	12	10	2.2834	0	-1.1351	2	-0.946
那怪	12	0	-2.922	0	-1.1351	12	5.1103
留下	11	4	-0.344	0	-1.0405	7	1.1428
猴	11	6	0.5026	0	-1.0405	5	0.3989
知道	11	5	0.2619	0	-1.0405	6	0.7106
使	11	4	-0.344	0	-1.0405	7	1.1428
模样	11	10	2.8484	0	-1.0405	1	-1.366
敢	11	4	-0.344	0	-1.0405	7	1.1428
回	11	6	0.5026	0	-1.0405	5	0.3989
进	11	6	0.5026	0	-1.0405	5	0.3989
女国	11	11	4.0428	0	-1.0405	0	-2.2473
自己	11	7	0.8557	0	-1.0405	4	-0.2212
进去	11	6	0.5026	0	-1.0405	5	0.3989
不见	11	4	-0.344	0	-1.0405	7	1.1428
此	11	6	0.5026	0	-1.0405	5	0.3989
一只	11	4	-0.344	0	-1.0405	7	1.1428
星官	11	3	-0.635	0	-1.0405	8	1.7132
谁	11	7	0.8557	0	-1.0405	4	-0.2212
三位	11	4	-0.344	0	-1.0405	7	1.1428
悟空说	10	0	-2.4349	10	7.0868	0	-2.043
悟空道	10	0	-2.4349	10	7.0868	0	-2.043
没事	10	2	-0.9039	2	0.2139	6	0.8936
孙悟空	10	4	-0.2528	1	-0.4101	5	0.514
疼	10	0	-2.4349	3	0.5097	7	1.4147
化作	10	6	0.6597	0	-0.9459	4	0.2566
好生	10	8	1.7017	0	-0.9459	2	-0.6766
竟敢	10	8	1.7017	0	-0.9459	2	-0.6766
孽畜	10	4	-0.2528	0	-0.9459	6	0.8936
此时	10	9	2.5194	0	-0.9459	1	-1.1974
如何是好	10	9	2.5194	0	-0.9459	1	-1.1974
他们	10	4	-0.2528	0	-0.9459	6	0.8936
言	10	8	1.7017	0	-0.9459	2	-0.6766
大唐	10	5	0.3553	0	-0.9459	5	0.514
会	10	10	3.6751	0	-0.9459	0	-2.043
须	10	8	1.7017	0	-0.9459	2	-0.6766
真仙	10	7	1.0987	0	-0.9459	3	-0.3505
不肯	10	2	-0.9039	0	-0.9459	8	2.1042
王闻言	10	10	3.6751	0	-0.9459	0	-2.043
答应	10	7	1.0987	0	-0.9459	3	-0.3505
带	10	8	1.7017	0	-0.9459	2	-0.6766
还是	10	4	-0.2528	0	-0.9459	6	0.8936
面前	10	5	0.3553	0	-0.9459	5	0.514
成亲	10	8	1.7017	0	-0.9459	2	-0.6766
一下	10	6	0.6597	0	-0.9459	4	0.2566
举起	10	5	0.3553	0	-0.9459	5	0.514
孙大圣	10	5	0.3553	0	-0.9459	5	0.514
哎呀	10	10	3.6751	0	-0.9459	0	-2.043
悟	10	5	0.3553	0	-0.9459	5	0.514
喜	10	6	0.6597	0	-0.9459	4	0.2566
不可	9	6	0.8685	2	0.2591	1	-1.032
洗澡	9	5	0.4813	1	-0.3475	3	-0.2634
也罢	9	5	0.4813	2	0.2591	2	-0.5509
摇身一变	9	4	0.2297	1	-0.3475	4	0.3422
娘	9	2	-0.7423	7	3.5666	0	-1.8386
几个	9	5	0.4813	0	-0.8513	4	0.3422
怕	9	9	3.3075	0	-0.8513	0	-1.8386
却说	9	7	1.4224	0	-0.8513	2	-0.5509
抬头	9	4	0.2297	0	-0.8513	5	0.6636
怎么	9	3	-0.3864	0	-0.8513	6	1.1296
分明	9	8	2.1942	0	-0.8513	1	-1.032
继续	9	5	0.4813	0	-0.8513	4	0.3422
不好	9	6	0.8685	0	-0.8513	3	-0.2634
更	9	4	0.2297	0	-0.8513	5	0.6636
饶	9	6	0.8685	0	-0.8513	3	-0.2634
老婆婆	9	8	2.1942	0	-0.8513	1	-1.032
水	9	5	0.4813	0	-0.8513	4	0.3422
只觉	9	6	0.8685	0	-0.8513	3	-0.2634
一座	9	2	-0.7423	0	-0.8513	7	1.7682
解阳山	9	5	0.4813	0	-0.8513	4	0.3422
